    ,symbol  ,name　　　　,moneyincomeratio      ,roe                   ,assetsturnratio       ,incomegrowthratio     ,goodwillequityratio   ,grossprofitmarginratio
1   ,000001  ,平安银行　　　　,0    0.11             ,0    13.52            ,0    0.74             ,0    15.45            ,1    4.15             ,1    38.66            
2   ,000002  ,万科A　　　　　,1    123.54           ,1    20.81            ,0    28.87            ,0    61.42            ,1    0.18             ,1    32.06            
3   ,000004  ,国农科技　　　　,1    117.23           ,0    7.02             ,0    65.51            ,0    270.04           ,1    0.36             ,1    52.15            
4   ,000005  ,世纪星源　　　　,0    86.20            ,0    3.86             ,0    12.98            ,0    45.94            ,1    13.93            ,1    29.06            
5   ,000006  ,深振业A　　　　,0    113.27           ,0    13.72            ,0    23.72            ,0    -32.31           ,1    0.00             ,1    35.18            
6   ,000007  ,全新好　　　　　,0    104.69           ,0    -9.84            ,0    14.60            ,0    -4.94            ,1    6.14             ,1    71.51            
7   ,000008  ,神州高铁　　　　,0    82.65            ,0    7.24             ,0    37.76            ,0    38.82            ,0    37.75            ,1    48.35            
8   ,000009  ,中国宝安　　　　,0    95.66            ,0    8.23             ,0    32.46            ,0    59.65            ,1    8.98             ,1    33.39            
9   ,000010  ,*ST美丽　　　,0    116.37           ,0    -32.68           ,0    21.60            ,0    145.56           ,0    36.16            ,0    19.82            
10  ,000011  ,深物业A　　　　,0    114.06           ,0    18.16            ,0    38.81            ,0    -31.34           ,1    0.00             ,1    50.63            
11  ,000012  ,南玻A　　　　　,1    113.09           ,0    8.79             ,1    53.00            ,0    3.40             ,1    2.80             ,1    24.17            
12  ,000014  ,沙河股份　　　　,0    121.94           ,0    8.04             ,0    25.04            ,0    -73.36           ,1    0.00             ,1    33.06            
13  ,000016  ,深康佳A　　　　,0    96.44            ,0    7.34             ,1    136.63           ,1    79.18            ,1    2.19             ,0    11.51            
14  ,000017  ,深中华A　　　　,0    43.75            ,0    14.01            ,1    244.61           ,0    -11.61           ,1    0.00             ,0    8.74             
15  ,000018  ,*ST神城　　　,0    90.79            ,0    -8.56            ,0    72.75            ,0    -77.71           ,1    4.46             ,0    26.76            
16  ,000019  ,深粮控股　　　　,1    115.56           ,0    1.95             ,0    79.60            ,0    2886.69          ,1    0.03             ,1    23.90            
17  ,000020  ,深华发A　　　　,0    88.79            ,0    0.71             ,1    84.78            ,0    -10.37           ,1    0.00             ,0    12.97            
18  ,000021  ,深科技　　　　　,0    90.43            ,0    5.92             ,1    107.90           ,0    0.98             ,1    0.24             ,0    4.68             
19  ,000023  ,深天地A　　　　,0    88.45            ,0    5.69             ,1    71.55            ,0    36.01            ,1    0.27             ,0    12.84            
20  ,000025  ,特力A　　　　　,1    108.16           ,0    6.13             ,0    34.76            ,0    40.30            ,1    0.00             ,1    24.08            
21  ,000026  ,飞亚达A　　　　,1    113.84           ,0    6.74             ,1    85.28            ,0    8.85             ,1    0.28             ,1    39.82            
22  ,000027  ,深圳能源　　　　,1    110.52           ,0    6.75             ,0    24.45            ,0    42.58            ,1    7.83             ,1    27.57            
23  ,000028  ,国药一致　　　　,1    109.10           ,0    13.98            ,1    199.26           ,0    13.46            ,1    5.78             ,0    9.07             
24  ,000029  ,深深房A　　　　,0    101.66           ,0    12.73            ,0    48.83            ,0    63.54            ,1    0.00             ,1    36.79            
25  ,000030  ,富奥股份　　　　,0    90.31            ,0    14.04            ,1    67.92            ,0    26.39            ,1    0.03             ,1    17.94            
26  ,000031  ,大悦城　　　　　,1    122.87           ,0    13.78            ,0    23.14            ,0    148.39           ,1    2.32             ,1    35.44            
27  ,000032  ,深桑达A　　　　,0    112.52           ,0    4.08             ,1    94.80            ,0    -1.50            ,1    0.00             ,0    16.53            
28  ,000034  ,神州数码　　　　,1    107.99           ,0    22.89            ,1    262.50           ,1    51.50            ,1    15.03            ,0    7.36             
29  ,000035  ,中国天楹　　　　,0    57.95            ,0    11.10            ,0    23.71            ,1    580.45           ,1    0.39             ,1    44.76            
30  ,000036  ,华联控股　　　　,0    142.72           ,0    21.86            ,0    23.20            ,0    5.48             ,1    0.37             ,1    58.30            
31  ,000037  ,深南电A　　　　,1    116.72           ,0    2.71             ,0    40.79            ,0    -19.67           ,1    3.32             ,0    -5.31            
32  ,000038  ,深大通　　　　　,0    89.85            ,0    -15.06           ,0    36.94            ,0    49.04            ,0    18.89            ,0    22.93            
33  ,000039  ,中集集团　　　　,0    98.03            ,0    7.93             ,1    63.26            ,0    29.38            ,1    6.53             ,0    17.27            
34  ,000040  ,东旭蓝天　　　　,0    93.01            ,0    5.16             ,0    29.87            ,0    68.12            ,1    2.67             ,1    25.20            
35  ,000042  ,中洲控股　　　　,1    129.16           ,0    8.47             ,0    24.29            ,0    16.47            ,1    0.00             ,1    37.02            
36  ,000043  ,中航善达　　　　,0    105.97           ,0    10.38            ,0    31.40            ,0    10.73            ,1    0.12             ,1    22.52            
37  ,000045  ,深纺织A　　　　,0    99.84            ,0    -1.50            ,0    36.64            ,0    54.39            ,1    0.42             ,0    7.16             
38  ,000046  ,泛海控股　　　　,0    125.73           ,0    14.67            ,0    8.21             ,0    -33.91           ,1    14.02            ,1    47.91            
39  ,000048  ,康达尔　　　　　,0    104.12           ,0    29.07            ,1    101.06           ,0    67.76            ,1    0.79             ,0    23.26            
40  ,000049  ,德赛电池　　　　,0    99.23            ,1    27.71            ,1    195.44           ,0    47.27            ,1    0.00             ,0    9.26             
41  ,000050  ,深天马A　　　　,0    107.60           ,0    6.87             ,1    60.77            ,0    104.26           ,1    2.07             ,1    18.11            
42  ,000055  ,方大集团　　　　,0    92.72            ,0    30.02            ,0    54.73            ,0    -0.82            ,1    1.09             ,1    25.58            
43  ,000056  ,皇庭国际　　　　,0    101.49           ,0    -1.56            ,0    4.14             ,0    60.49            ,1    0.18             ,1    62.67            
44  ,000058  ,深赛格　　　　　,0    162.13           ,0    5.91             ,0    29.37            ,0    55.29            ,1    0.60             ,1    24.44            
45  ,000059  ,华锦股份　　　　,1    115.54           ,0    4.26             ,1    108.52           ,0    13.91            ,1    0.00             ,0    18.54            
46  ,000060  ,中金岭南　　　　,1    107.81           ,0    7.23             ,1    117.11           ,0    6.31             ,1    1.63             ,0    10.19            
47  ,000061  ,农产品　　　　　,1    115.63           ,0    1.03             ,0    12.42            ,0    13.69            ,1    0.19             ,1    41.76            
48  ,000062  ,深圳华强　　　　,0    85.72            ,0    14.69            ,0    83.29            ,1    66.42            ,0    24.17            ,1    25.57            
49  ,000063  ,中兴通讯　　　　,1    108.02           ,0    0.92             ,1    76.62            ,0    -10.83           ,1    0.38             ,1    32.22            
50  ,000065  ,北方国际　　　　,0    86.56            ,0    16.35            ,1    81.03            ,0    -9.33            ,1    0.03             ,0    12.45            
51  ,000066  ,中国长城　　　　,0    102.05           ,0    5.25             ,0    129.30           ,0    -19.17           ,1    1.15             ,0    13.61            
52  ,000068  ,华控赛格　　　　,0    146.35           ,0    -18.22           ,0    19.52            ,0    -10.15           ,1    4.73             ,1    39.95            
53  ,000069  ,华侨城A　　　　,0    119.09           ,1    17.52            ,0    26.71            ,0    27.21            ,1    0.47             ,1    52.88            
54  ,000070  ,特发信息　　　　,0    95.99            ,0    10.52            ,1    87.09            ,0    1.02             ,1    11.27            ,1    17.62            
55  ,000078  ,海王生物　　　　,0    95.13            ,0    12.08            ,1    102.88           ,0    92.64            ,0    29.51            ,0    13.73            
56  ,000088  ,盐田港　　　　　,1    100.66           ,0    7.45             ,0    3.96             ,0    47.30            ,1    0.09             ,1    52.63            
57  ,000089  ,深圳机场　　　　,1    104.91           ,0    5.28             ,0    25.21            ,0    14.46            ,1    0.00             ,1    26.62            
58  ,000090  ,天健集团　　　　,0    104.63           ,0    10.03            ,0    39.36            ,0    21.36            ,1    0.14             ,1    21.46            
59  ,000096  ,广聚能源　　　　,1    116.45           ,0    6.90             ,0    49.76            ,0    49.35            ,1    6.09             ,0    13.35            
60  ,000099  ,中信海直　　　　,1    104.56           ,0    5.10             ,0    26.58            ,0    21.14            ,1    0.00             ,1    25.06            
61  ,000100  ,TCL集团　　　,1    106.98           ,0    11.72            ,1    87.89            ,0    -4.30            ,1    2.37             ,1    18.00            
62  ,000150  ,宜华健康　　　　,0    91.97            ,0    11.60            ,0    22.70            ,0    22.41            ,0    55.28            ,1    27.85            
63  ,000151  ,中成股份　　　　,0    76.39            ,0    10.45            ,1    76.50            ,0    -39.63           ,1    3.06             ,0    14.73            
64  ,000153  ,丰原药业　　　　,0    96.52            ,0    4.20             ,1    87.24            ,0    29.88            ,1    0.97             ,1    29.96            
65  ,000155  ,川能动力　　　　,0    107.53           ,0    -25.40           ,0    72.79            ,0    17.43            ,1    0.00             ,0    6.97             
66  ,000156  ,华数传媒　　　　,1    110.97           ,0    9.14             ,0    29.17            ,0    9.22             ,1    4.50             ,1    43.48            
67  ,000157  ,中联重科　　　　,0    103.91           ,0    1.60             ,0    26.35            ,1    47.39            ,1    5.22             ,1    25.44            
68  ,000158  ,常山北明　　　　,1    107.08           ,0    4.44             ,1    95.20            ,0    0.63             ,0    29.15            ,0    6.44             
69  ,000159  ,国际实业　　　　,1    110.13           ,0    2.01             ,0    22.07            ,0    65.23            ,1    2.57             ,0    16.74            
70  ,000166  ,申万宏源　　　　,1    0.00             ,0    14.00            ,0    8.08             ,0    48.35            ,1    0.14             ,1    48.14            
71  ,000301  ,东方盛虹　　　　,1    111.04           ,0    6.41             ,0    43.61            ,0    1519.76          ,1    1.07             ,0    38.07            
72  ,000333  ,美的集团　　　　,0    84.90            ,1    27.39            ,1    112.85           ,0    24.72            ,0    19.18            ,1    26.23            
73  ,000338  ,潍柴动力　　　　,0    87.38            ,0    14.33            ,1    75.18            ,0    26.49            ,0    49.10            ,1    22.25            
74  ,000400  ,许继电气　　　　,0    84.48            ,0    11.75            ,1    69.44            ,0    -3.43            ,1    0.00             ,1    24.73            
75  ,000401  ,冀东水泥　　　　,0    74.87            ,0    -0.68            ,0    37.75            ,0    105.72           ,1    1.43             ,1    23.57            
76  ,000402  ,金融街　　　　　,0    105.19           ,0    10.70            ,0    19.76            ,0    2.46             ,1    0.00             ,1    33.69            
77  ,000403  ,振兴生化　　　　,0    97.92            ,0    16.20            ,1    49.14            ,0    28.58            ,1    0.92             ,1    55.38            
78  ,000404  ,长虹华意　　　　,0    85.51            ,0    7.50             ,1    95.99            ,0    9.66             ,1    1.99             ,0    13.88            
79  ,000407  ,胜利股份　　　　,1    112.18           ,0    -0.41            ,1    72.51            ,1    55.02            ,0    29.55            ,0    12.77            
80  ,000408  ,藏格控股　　　　,0    79.31            ,0    -6.38            ,0    36.78            ,0    -0.40            ,1    2.84             ,0    43.50            
81  ,000409  ,ST地矿　　　　,0    106.77           ,0    -7.21            ,0    35.93            ,0    46.20            ,0    15.68            ,0    19.16            
82  ,000410  ,*ST沈机　　　,0    68.77            ,0    -56.04           ,0    28.31            ,0    -14.93           ,1    0.40             ,1    25.54            
83  ,000411  ,英特集团　　　　,1    107.80           ,0    11.05            ,1    255.87           ,0    19.73            ,1    8.04             ,0    5.94             
84  ,000413  ,东旭光电　　　　,0    102.69           ,0    10.06            ,0    26.25            ,0    103.78           ,1    3.45             ,1    28.63            
85  ,000415  ,渤海租赁　　　　,0    81.05            ,0    9.18             ,0    12.51            ,0    7.48             ,1    21.76            ,1    41.71            
86  ,000416  ,民生控股　　　　,0    95.51            ,0    3.95             ,0    17.60            ,0    -22.85           ,1    2.76             ,1    83.78            
87  ,000417  ,合肥百货　　　　,1    123.65           ,0    7.93             ,1    114.37           ,0    8.13             ,1    0.06             ,1    19.97            
88  ,000419  ,通程控股　　　　,0    109.39           ,0    6.33             ,1    99.65            ,0    -6.31            ,1    0.00             ,1    19.91            
89  ,000420  ,吉林化纤　　　　,0    56.16            ,0    4.48             ,0    36.14            ,0    32.00            ,1    1.05             ,0    12.55            
90  ,000421  ,南京公用　　　　,1    127.84           ,0    9.20             ,0    56.68            ,0    4.45             ,1    0.46             ,1    20.31            
91  ,000422  ,ST宜化　　　　,1    116.94           ,0    -29.70           ,0    42.78            ,0    4.72             ,1    0.62             ,0    13.92            
92  ,000423  ,东阿阿胶　　　　,0    104.28           ,1    23.17            ,1    63.51            ,0    -15.79           ,1    0.01             ,1    65.63            
93  ,000425  ,徐工机械　　　　,0    102.64           ,0    3.27             ,0    53.02            ,1    83.88            ,1    0.30             ,1    20.11            
94  ,000426  ,兴业矿业　　　　,0    91.09            ,0    3.17             ,0    22.07            ,0    10.58            ,1    2.42             ,1    47.82            
95  ,000428  ,华天酒店　　　　,0    97.48            ,0    -5.60            ,0    12.97            ,0    3.28             ,1    0.59             ,1    55.23            
96  ,000429  ,粤高速A　　　　,0    95.02            ,0    13.27            ,0    16.54            ,0    4.35             ,1    0.00             ,1    56.90            
97  ,000430  ,张家界　　　　　,1    101.63           ,0    10.34            ,0    49.39            ,0    -19.49           ,1    0.28             ,1    37.64            
98  ,000488  ,晨鸣纸业　　　　,0    94.63            ,0    8.85             ,0    30.88            ,0    5.46             ,1    0.09             ,1    28.21            
99  ,000498  ,山东路桥　　　　,0    92.62            ,0    13.99            ,1    70.78            ,1    86.95            ,1    0.00             ,0    12.86            
100 ,000501  ,鄂武商A　　　　,1    114.60           ,0    18.40            ,1    102.72           ,0    0.21             ,1    0.00             ,1    21.96            
101 ,000502  ,绿景控股　　　　,0    110.36           ,0    0.60             ,0    18.57            ,0    -35.35           ,1    1.60             ,0    34.83            
102 ,000503  ,国新健康　　　　,1    101.15           ,0    -1.49            ,0    12.20            ,0    -33.65           ,1    0.02             ,0    4.28             
103 ,000504  ,*ST生物　　　,0    106.18           ,0    -272.94          ,0    20.76            ,0    220.35           ,0    293.11           ,1    32.51            
104 ,000505  ,京粮控股　　　　,0    129.42           ,0    -154.79          ,0    88.35            ,0    430.71           ,1    3.51             ,0    13.77            
105 ,000506  ,中润资源　　　　,0    95.11            ,0    -8.82            ,0    25.10            ,0    -18.75           ,1    0.00             ,0    21.27            
106 ,000507  ,珠海港　　　　　,1    110.59           ,0    3.82             ,0    37.71            ,0    48.51            ,1    0.94             ,0    20.05            
107 ,000509  ,华塑控股　　　　,1    111.32           ,0    -98.02           ,0    249.33           ,0    606.16           ,1    0.00             ,0    7.30             
108 ,000510  ,新金路　　　　　,1    118.15           ,0    2.09             ,1    115.52           ,0    29.80            ,1    0.23             ,0    12.03            
109 ,000513  ,丽珠集团　　　　,1    103.55           ,0    21.39            ,1    73.20            ,0    12.67            ,1    1.73             ,1    62.50            
110 ,000514  ,渝开发　　　　　,0    107.82           ,0    2.51             ,0    14.97            ,0    -49.68           ,1    0.00             ,1    26.17            
111 ,000516  ,国际医学　　　　,1    109.59           ,0    18.20            ,0    74.41            ,0    -63.06           ,1    0.72             ,1    20.62            
112 ,000517  ,荣安地产　　　　,0    159.37           ,0    8.60             ,0    27.75            ,0    378.43           ,1    0.20             ,1    26.29            
113 ,000518  ,四环生物　　　　,0    95.62            ,0    -2.72            ,0    34.33            ,0    -6.64            ,1    1.02             ,1    67.63            
114 ,000519  ,中兵红箭　　　　,0    71.00            ,0    5.02             ,0    43.61            ,0    31.47            ,1    0.00             ,1    27.06            
115 ,000520  ,长航凤凰　　　　,0    75.86            ,0    -8.71            ,1    151.13           ,0    6.46             ,1    0.00             ,0    15.97            
116 ,000521  ,长虹美菱　　　　,0    86.77            ,0    3.37             ,1    116.63           ,0    11.96            ,1    0.13             ,1    19.94            
117 ,000523  ,广州浪奇　　　　,1    106.23           ,0    2.68             ,1    229.66           ,0    18.43            ,1    0.00             ,0    3.66             
118 ,000524  ,岭南控股　　　　,1    102.74           ,0    6.95             ,0    102.20           ,0    420.18           ,1    0.46             ,1    40.05            
119 ,000525  ,红太阳　　　　　,0    90.05            ,0    9.31             ,0    48.16            ,0    15.96            ,1    13.88            ,0    20.43            
120 ,000526  ,紫光学大　　　　,0    94.70            ,0    -10.67           ,0    49.59            ,0    27.05            ,0    1432.63          ,1    43.10            
121 ,000528  ,柳工　　　　　　,1    143.07           ,0    3.00             ,0    48.66            ,0    73.62            ,1    0.22             ,1    23.64            
122 ,000529  ,广弘控股　　　　,1    105.21           ,0    10.95            ,1    130.07           ,0    14.84            ,1    0.07             ,0    14.46            
123 ,000530  ,大冷股份　　　　,0    76.41            ,0    5.48             ,0    41.21            ,0    7.24             ,1    0.04             ,1    19.62            
124 ,000531  ,穗恒运A　　　　,0    104.12           ,0    11.64            ,0    35.53            ,0    -0.51            ,1    0.29             ,1    26.94            
125 ,000532  ,华金资本　　　　,0    93.81            ,0    5.93             ,0    19.49            ,0    16.62            ,1    2.15             ,1    42.02            
126 ,000533  ,顺钠股份　　　　,1    110.76           ,0    -10.22           ,1    163.12           ,0    210.53           ,1    4.68             ,0    20.48            
127 ,000534  ,万泽股份　　　　,0    125.03           ,0    4.66             ,0    11.64            ,0    1618.89          ,1    8.39             ,1    49.38            
128 ,000536  ,华映科技　　　　,0    82.91            ,0    -5.16            ,0    40.95            ,0    -34.94           ,1    0.00             ,0    12.15            
129 ,000537  ,广宇发展　　　　,0    125.13           ,0    17.95            ,0    33.01            ,0    780.12           ,1    0.00             ,1    42.88            
130 ,000538  ,云南白药　　　　,1    114.15           ,1    20.65            ,1    106.46           ,0    14.10            ,1    0.09             ,1    30.66            
131 ,000539  ,粤电力A　　　　,1    115.89           ,0    7.71             ,0    37.26            ,0    6.76             ,1    0.07             ,0    21.57            
132 ,000540  ,中天金融　　　　,0    93.08            ,0    23.03            ,0    24.29            ,0    -10.82           ,0    16.65            ,1    33.87            
133 ,000541  ,佛山照明　　　　,0    95.10            ,0    11.05            ,1    66.52            ,0    -7.80            ,1    0.17             ,1    24.08            
134 ,000543  ,皖能电力　　　　,1    111.87           ,0    8.10             ,1    48.67            ,0    29.19            ,1    0.18             ,0    12.74            
135 ,000544  ,中原环保　　　　,0    103.80           ,0    7.87             ,0    19.92            ,0    32.48            ,1    0.00             ,1    37.22            
136 ,000545  ,金浦钛业　　　　,0    67.65            ,0    6.46             ,0    48.48            ,0    19.22            ,1    0.00             ,0    18.10            
137 ,000546  ,金圆股份　　　　,0    83.81            ,0    13.53            ,1    65.40            ,0    272.47           ,1    6.31             ,0    25.37            
138 ,000547  ,航天发展　　　　,0    86.15            ,0    7.01             ,0    30.49            ,0    51.23            ,0    32.02            ,1    38.33            
139 ,000548  ,湖南投资　　　　,0    149.49           ,0    3.40             ,0    17.40            ,0    34.66            ,1    0.03             ,1    55.59            
140 ,000550  ,江铃汽车　　　　,1    113.19           ,0    11.57            ,1    123.32           ,0    -6.80            ,1    0.03             ,0    21.38            
141 ,000551  ,创元科技　　　　,0    104.46           ,0    3.44             ,1    65.52            ,0    21.57            ,1    2.95             ,1    25.15            
142 ,000552  ,靖远煤电　　　　,0    87.20            ,0    7.75             ,0    40.94            ,0    11.08            ,1    0.00             ,1    26.20            
143 ,000553  ,安道麦A　　　　,0    91.42            ,0    10.34            ,1    84.12            ,0    578.12           ,1    7.81             ,0    26.81            
144 ,000554  ,泰山石油　　　　,1    117.28           ,0    0.43             ,1    275.32           ,0    8.64             ,1    2.47             ,0    8.14             
145 ,000555  ,神州信息　　　　,1    114.62           ,0    7.90             ,1    92.74            ,0    14.89            ,0    31.75            ,1    19.59            
146 ,000557  ,西部创业　　　　,0    107.70           ,0    0.59             ,0    10.86            ,0    29.58            ,1    0.00             ,0    39.25            
147 ,000558  ,莱茵体育　　　　,0    88.30            ,0    -4.26            ,0    71.02            ,0    -108.03          ,1    1.47             ,0    14.35            
148 ,000559  ,万向钱潮　　　　,0    100.75           ,0    18.33            ,1    91.20            ,0    -2.66            ,1    0.36             ,1    20.94            
149 ,000560  ,我爱我家　　　　,0    106.90           ,0    3.60             ,0    32.38            ,0    574.84           ,0    21.31            ,1    31.30            
150 ,000561  ,烽火电子　　　　,0    88.03            ,0    6.48             ,1    48.66            ,0    11.69            ,1    0.00             ,1    43.31            
151 ,000563  ,陕国投A　　　　,0    0.93             ,0    6.94             ,0    3.18             ,0    50.22            ,1    0.00             ,1    55.14            
152 ,000564  ,供销大集　　　　,1    118.48           ,0    3.16             ,0    51.99            ,0    -34.21           ,1    6.34             ,0    20.93            
153 ,000565  ,渝三峡A　　　　,0    89.40            ,0    13.10            ,1    121.80           ,0    -76.59           ,1    0.00             ,0    16.30            
154 ,000566  ,海南海药　　　　,0    79.19            ,0    5.76             ,0    27.73            ,0    52.70            ,1    4.26             ,1    47.47            
155 ,000567  ,海德股份　　　　,0    57.29            ,0    9.64             ,0    6.56             ,0    146.23           ,1    0.00             ,0    63.81            
156 ,000568  ,泸州老窖　　　　,0    113.09           ,0    16.53            ,0    55.57            ,1    40.43            ,1    0.00             ,1    61.56            
157 ,000570  ,苏常柴A　　　　,1    106.03           ,0    2.93             ,1    69.67            ,0    -12.12           ,1    0.00             ,0    15.87            
158 ,000571  ,*ST大洲　　　,0    97.02            ,0    -8.25            ,0    25.39            ,0    75.35            ,1    3.13             ,1    28.16            
159 ,000572  ,*ST海马　　　,0    87.04            ,0    -6.88            ,0    65.46            ,0    -60.54           ,1    0.51             ,0    12.39            
160 ,000573  ,粤宏远A　　　　,0    116.90           ,0    2.49             ,0    24.70            ,0    60.07            ,1    1.58             ,1    25.23            
161 ,000576  ,广东甘化　　　　,0    71.68            ,0    1.97             ,0    29.02            ,0    -3.43            ,0    12.96            ,0    2.64             
162 ,000581  ,威孚高科　　　　,0    91.56            ,0    15.18            ,0    42.72            ,0    3.95             ,1    0.01             ,1    23.73            
163 ,000582  ,北部湾港　　　　,0    98.58            ,0    9.70             ,0    31.41            ,0    35.30            ,1    0.27             ,1    33.36            
164 ,000584  ,哈工智能　　　　,0    72.22            ,0    -0.16            ,0    45.98            ,0    84.65            ,0    18.27            ,0    23.16            
165 ,000585  ,ST东电　　　　,0    129.45           ,0    -13.01           ,0    20.97            ,0    113.07           ,0    13.15            ,1    20.92            
166 ,000586  ,汇源通信　　　　,1    105.83           ,0    2.27             ,1    80.36            ,0    -9.56            ,1    0.00             ,1    19.56            
167 ,000587  ,金洲慈航　　　　,1    118.52           ,0    2.44             ,0    120.34           ,0    -13.10           ,0    35.78            ,0    9.11             
168 ,000589  ,贵州轮胎　　　　,1    107.81           ,0    -1.11            ,1    59.60            ,0    13.95            ,1    0.00             ,0    15.50            
169 ,000590  ,启迪古汉　　　　,0    110.25           ,0    -1.01            ,0    41.13            ,0    7.30             ,1    1.05             ,1    52.81            
170 ,000591  ,太阳能　　　　　,0    73.43            ,0    5.98             ,0    44.58            ,0    11.83            ,1    0.00             ,1    27.83            
171 ,000592  ,平潭发展　　　　,0    96.35            ,0    2.18             ,0    27.45            ,0    32.22            ,1    0.59             ,0    16.06            
172 ,000593  ,大通燃气　　　　,1    113.93           ,0    -3.57            ,0    42.77            ,0    43.04            ,0    23.74            ,1    27.47            
173 ,000595  ,宝塔实业　　　　,0    97.16            ,0    -8.67            ,0    29.34            ,0    -9.05            ,0    16.91            ,0    9.27             
174 ,000596  ,古井贡酒　　　　,1    111.51           ,1    17.99            ,1    75.87            ,1    40.99            ,1    4.45             ,1    73.75            
175 ,000597  ,东北制药　　　　,0    87.68            ,0    0.24             ,1    54.58            ,0    36.11            ,1    0.45             ,1    33.36            
176 ,000598  ,兴蓉环境　　　　,1    103.77           ,0    10.17            ,0    21.79            ,0    19.02            ,1    0.02             ,1    43.38            
177 ,000599  ,青岛双星　　　　,1    113.76           ,0    2.89             ,1    60.84            ,0    -2.63            ,1    0.00             ,0    15.42            
178 ,000600  ,建投能源　　　　,1    112.96           ,0    13.78            ,0    40.27            ,0    35.19            ,1    0.00             ,1    28.20            
179 ,000601  ,韶能股份　　　　,1    100.33           ,0    8.41             ,0    36.50            ,0    14.63            ,1    0.07             ,1    28.80            
180 ,000603  ,盛达资源　　　　,0    127.98           ,0    23.99            ,0    56.29            ,1    245.30           ,1    0.00             ,1    64.39            
181 ,000605  ,渤海股份　　　　,0    84.15            ,0    4.47             ,0    34.44            ,0    31.67            ,1    10.08            ,1    26.05            
182 ,000606  ,顺利办　　　　　,1    117.04           ,0    -5.44            ,0    20.37            ,1    133.02           ,0    39.82            ,0    18.69            
183 ,000607  ,华媒控股　　　　,1    104.93           ,0    13.97            ,1    65.86            ,0    3.01             ,0    23.72            ,1    28.29            
184 ,000608  ,阳光股份　　　　,0    92.58            ,0    -5.05            ,0    7.08             ,0    -62.84           ,1    0.33             ,1    60.08            
185 ,000609  ,中迪投资　　　　,0    293.35           ,0    5.28             ,0    15.80            ,0    -16.74           ,1    1.17             ,1    34.90            
186 ,000610  ,西安旅游　　　　,0    96.49            ,0    1.51             ,1    77.13            ,0    7.97             ,1    0.04             ,0    6.63             
187 ,000611  ,*ST天首　　　,1    159.99           ,0    -28.11           ,0    5.44             ,0    -42.70           ,0    29.87            ,0    -5.51            
188 ,000612  ,焦作万方　　　　,1    114.02           ,0    0.52             ,1    59.98            ,0    7.36             ,1    2.48             ,0    5.05             
189 ,000613  ,大东海A　　　　,0    105.47           ,0    -1.03            ,0    23.08            ,0    3.67             ,1    0.00             ,1    64.57            
190 ,000615  ,京汉股份　　　　,0    128.98           ,0    9.59             ,0    45.61            ,0    63.83            ,1    0.19             ,1    27.35            
191 ,000616  ,海航投资　　　　,0    91.50            ,0    1.60             ,0    8.26             ,0    101.23           ,1    2.36             ,1    26.47            
192 ,000617  ,中油资本　　　　,0    54.23            ,0    -0.14            ,0    16.42            ,0    97.26            ,1    0.02             ,0    13.48            
193 ,000619  ,海螺型材　　　　,0    107.59           ,0    2.50             ,1    85.77            ,0    8.52             ,1    0.00             ,0    13.50            
194 ,000620  ,新华联　　　　　,0    116.30           ,0    11.40            ,0    18.69            ,0    39.31            ,1    4.76             ,1    29.12            
195 ,000622  ,恒立实业　　　　,0    95.84            ,0    -5.81            ,0    20.98            ,1    373.14           ,1    0.04             ,0    10.99            
196 ,000623  ,吉林敖东　　　　,0    97.09            ,0    10.56            ,0    14.65            ,0    25.95            ,1    0.12             ,1    70.52            
197 ,000625  ,长安汽车　　　　,0    102.42           ,0    22.25            ,1    78.36            ,0    -8.91            ,1    0.03             ,0    16.63            
198 ,000626  ,远大控股　　　　,1    110.28           ,0    19.04            ,1    767.72           ,0    -19.53           ,1    0.01             ,0    1.01             
199 ,000627  ,天茂集团　　　　,0    72.36            ,0    10.54            ,0    12.66            ,1    98.86            ,0    21.92            ,0    14.08            
200 ,000628  ,高新发展　　　　,0    94.51            ,0    0.19             ,0    35.75            ,0    115.52           ,1    0.00             ,0    16.82            
201 ,000629  ,攀钢钒钛　　　　,0    72.22            ,0    -16.44           ,0    64.23            ,0    50.28            ,1    0.00             ,1    22.20            
202 ,000630  ,铜陵有色　　　　,1    118.09           ,0    1.23             ,1    189.59           ,0    12.41            ,1    0.05             ,0    4.01             
203 ,000631  ,顺发恒业　　　　,0    91.25            ,0    12.93            ,0    31.76            ,0    -41.43           ,1    0.03             ,1    31.09            
204 ,000632  ,三木集团　　　　,1    110.16           ,0    1.56             ,1    81.78            ,0    32.92            ,1    0.01             ,0    8.37             
205 ,000633  ,合金投资　　　　,0    95.10            ,0    -6.55            ,0    15.38            ,0    59.34            ,1    0.00             ,0    13.15            
206 ,000635  ,英力特　　　　　,0    52.96            ,0    2.15             ,1    56.04            ,0    5.29             ,1    0.00             ,0    16.93            
207 ,000636  ,风华高科　　　　,0    74.78            ,0    6.91             ,0    49.06            ,0    26.80            ,1    4.78             ,1    24.20            
208 ,000637  ,茂化实华　　　　,1    115.47           ,0    8.46             ,1    308.49           ,0    3.94             ,1    0.00             ,0    7.81             
209 ,000638  ,万方发展　　　　,0    195.18           ,0    -16.12           ,0    10.51            ,0    -28.39           ,0    21.58            ,0    20.73            
