    ,symbol  ,name　　　　,moneyincomeratio      ,roe                   ,assetsturnratio       ,incomegrowthratio     ,goodwillequityratio   ,grossprofitmarginratio
1317,002880  ,卫光生物　　　　,0    99.51            ,0    27.82            ,1    54.79            ,0    14.84            ,1    3.60             ,1    44.98            
1318,002881  ,美格智能　　　　,0    88.79            ,0    17.55            ,1    103.62           ,0    50.55            ,1    0.00             ,1    22.29            
1319,002882  ,金龙羽　　　　　,1    112.40           ,0    15.51            ,1    157.88           ,1    76.59            ,1    0.00             ,1    16.19            
1320,002883  ,中设股份　　　　,0    78.79            ,0    24.98            ,1    77.52            ,0    32.56            ,1    0.35             ,1    48.09            
1321,002884  ,凌霄泵业　　　　,1    104.93           ,1    21.98            ,1    109.81           ,0    17.11            ,1    0.00             ,1    28.66            
1322,002885  ,京泉华　　　　　,0    98.71            ,0    13.69            ,1    122.24           ,0    29.53            ,1    0.00             ,0    17.22            
1323,002886  ,沃特股份　　　　,0    98.08            ,0    17.51            ,1    106.57           ,0    20.44            ,1    0.00             ,1    18.38            
1324,002887  ,绿茵生态　　　　,0    81.56            ,0    20.50            ,0    52.18            ,0    6.85             ,1    0.00             ,1    37.67            
1325,002888  ,惠威科技　　　　,1    115.36           ,0    14.23            ,1    81.92            ,0    3.75             ,1    0.00             ,1    37.92            
1326,002889  ,东方嘉盛　　　　,1    108.08           ,0    12.27            ,0    91.32            ,0    45.22            ,1    0.00             ,0    2.39             
1327,002890  ,弘宇股份　　　　,0    48.79            ,0    13.42            ,0    66.28            ,0    -7.52            ,1    0.00             ,1    25.57            
1328,002891  ,中宠股份　　　　,0    99.26            ,0    15.46            ,1    132.75           ,1    50.47            ,1    4.09             ,1    23.35            
1329,002892  ,科力尔　　　　　,0    91.10            ,0    26.27            ,1    138.42           ,0    32.69            ,1    0.00             ,1    26.14            
1330,002893  ,华通热力　　　　,0    99.52            ,0    14.84            ,1    69.68            ,0    6.31             ,1    1.27             ,0    17.11            
1331,002895  ,川恒股份　　　　,0    93.49            ,0    6.68             ,1    53.45            ,0    27.79            ,1    0.00             ,1    24.43            
1332,002896  ,中大力德　　　　,1    111.59           ,0    15.41            ,1    66.72            ,0    36.87            ,1    0.00             ,1    32.32            
1333,002897  ,意华股份　　　　,0    96.82            ,0    15.76            ,1    100.72           ,0    20.43            ,1    0.00             ,1    27.17            
1334,002898  ,赛隆药业　　　　,1    116.52           ,0    22.51            ,1    91.57            ,0    35.09            ,1    0.00             ,1    58.80            
1335,002899  ,英派斯　　　　　,1    102.98           ,0    19.99            ,1    101.00           ,0    9.64             ,1    0.00             ,1    37.23            
1336,002900  ,哈三联　　　　　,1    107.89           ,0    20.78            ,1    73.26            ,0    127.32           ,1    1.05             ,1    67.95            
1337,002901  ,大博医疗　　　　,1    113.25           ,1    41.99            ,1    64.22            ,1    56.82            ,1    3.23             ,1    81.61            
1338,002902  ,铭普光磁　　　　,0    76.42            ,0    14.27            ,1    120.87           ,0    0.02             ,1    0.14             ,0    17.65            
1339,002903  ,宇环数控　　　　,0    107.92           ,0    15.76            ,0    41.53            ,0    -48.06           ,1    0.00             ,1    48.34            
1340,002905  ,金逸影视　　　　,1    104.07           ,0    26.43            ,1    98.77            ,0    -1.54            ,1    0.05             ,1    26.06            
1341,002906  ,华阳集团　　　　,0    96.13            ,0    8.82             ,1    100.34           ,0    -14.57           ,1    0.42             ,1    21.38            
1342,002907  ,华森制药　　　　,0    94.65            ,1    21.28            ,1    83.46            ,0    30.13            ,1    0.00             ,1    64.82            
1343,002908  ,德生科技　　　　,1    104.03           ,0    23.59            ,1    74.18            ,0    16.52            ,1    0.00             ,1    45.71            
1344,002909  ,集泰股份　　　　,0    92.87            ,0    15.69            ,1    120.46           ,0    43.56            ,1    0.00             ,1    32.33            
