,ts_code,symbol,name,area,industry,list_date,pe,pe_ttm,pb,total_mv,circ_mv
3253,603118.SH,603118,共进股份,深圳,通信设备,20150225,52.0074,29.2921,2.2773,1000695.9983,1000695.9983
3254,603121.SH,603121,华培动力,上海,汽车配件,20190111,70.0647,58.7151,5.0634,549720.0,137430.0
3255,603123.SH,603123,翠微股份,北京,百货,20120503,,,,,
3256,603126.SH,603126,中材节能,天津,环境保护,20140731,23.2371,28.7029,1.7827,301587.0,301587.0
3257,603127.SH,603127,昭衍新药,北京,医疗保健,20170825,90.7391,77.0424,13.5782,983052.4379,478914.454
3258,603128.SH,603128,华贸物流,上海,仓储物流,20120529,22.1524,22.1438,1.7786,715511.1156,715511.1156
3259,603129.SH,603129,春风动力,浙江,摩托车,20170818,40.5894,29.7058,4.9204,488087.7728,238252.1321
3260,603131.SH,603131,上海沪工,上海,专用机械,20160607,57.0582,60.0786,3.6219,423541.7037,93240.0
3261,603133.SH,603133,碳元科技,江苏,元器件,20170320,70.737,,4.199,380538.8,202461.4582
3262,603136.SH,603136,天目湖,江苏,旅游景点,20170927,28.2666,23.6158,3.2676,291740.0,72935.0
3263,603138.SH,603138,海量数据,北京,软件服务,20170306,61.7603,73.2212,7.3542,334448.4259,106611.7774
3264,603139.SH,603139,康惠制药,陕西,中成药,20170421,30.9717,31.2588,1.7808,172293.0,92511.75
3265,603156.SH,603156,养元饮品,河北,软饮料,20180212,11.4752,11.5168,2.8412,3255482.286,1973967.7183
3266,603157.SH,603157,拉夏贝尔,上海,服饰,20170925,,,0.8936,237689.4926,63278.5137
3267,603158.SH,603158,腾龙股份,江苏,汽车配件,20150320,25.1385,25.9202,2.8892,293995.976,293995.976
3268,603159.SH,603159,上海亚虹,上海,专用机械,20160812,36.528,63.1269,3.7316,156800.0,156800.0
3269,603160.SH,603160,汇顶科技,深圳,元器件,20161017,123.8612,43.0541,16.1124,9196677.7736,9057744.1442
3270,603161.SH,603161,科华控股,江苏,汽车配件,20180105,17.1048,17.072,1.3997,178889.4,93065.4
3271,603165.SH,603165,荣晟环保,浙江,造纸,20170117,14.5226,11.9529,2.2606,302030.456,75531.456
3272,603166.SH,603166,福达股份,广西,汽车配件,20141127,28.0853,26.3505,1.4934,314891.8576,313177.8976
3273,603167.SH,603167,渤海轮渡,山东,水运,20120906,10.7482,10.2209,1.2985,430726.8153,419947.8633
3274,603168.SH,603168,莎普爱思,浙江,化学制药,20140702,,,1.6041,243879.9292,224790.93
3275,603169.SH,603169,兰石重装,甘肃,专用机械,20141009,,,3.2198,587789.912,583415.1288
3276,603177.SH,603177,德创环保,浙江,环境保护,20170207,157.8882,1784.7696,3.9111,203010.0,62058.75
3277,603178.SH,603178,圣龙股份,浙江,汽车配件,20170328,59.5527,,3.133,227072.025,57333.375
3278,603179.SH,603179,新泉股份,江苏,汽车配件,20170317,11.436,17.4615,2.1237,322545.5191,134510.4693
3279,603180.SH,603180,金牌厨柜,福建,家居用品,20170512,20.4375,19.2606,4.1154,429576.6955,117699.6662
3280,603181.SH,603181,皇马科技,浙江,化工原料,20170824,24.3581,19.5999,3.1484,479920.0,237560.4
3281,603183.SH,603183,建研院,江苏,建筑工程,20170905,29.8326,29.5738,2.6439,192705.828,114469.5508
3282,603185.SH,603185,上机数控,江苏,机床制造,20181228,22.6461,25.3275,2.7165,454759.2,113689.8
3283,603186.SH,603186,华正新材,浙江,元器件,20170103,78.2161,61.5312,8.1698,587249.0,334674.104
3284,603187.SH,603187,海容冷链,山东,机械基件,20181129,26.8905,19.188,2.6015,374578.8,92652.0
3285,603188.SH,603188,ST亚邦,江苏,染料涂料,20140909,26.0264,,1.3252,420480.0,420480.0
3286,603189.SH,603189,网达软件,上海,软件服务,20160914,445.2421,137.538,4.4509,355929.6,355929.6
3287,603192.SH,603192,汇得科技,上海,化工原料,20180828,26.5803,24.4019,2.604,306880.001,76720.001
3288,603196.SH,603196,日播时尚,上海,服饰,20170531,66.124,152.0148,2.7564,253680.0,69127.8
3289,603197.SH,603197,保隆科技,上海,汽车配件,20170519,31.5167,31.932,4.6885,488103.0862,289202.5316
3290,603198.SH,603198,迎驾贡酒,安徽,白酒,20150528,22.7869,20.1398,4.0185,1774400.0,1774400.0
3291,603199.SH,603199,九华旅游,安徽,旅游景点,20150326,28.5095,22.0522,2.2072,262532.96,262532.96
3292,603200.SH,603200,上海洗霸,上海,环境保护,20170601,25.4543,27.9673,2.5817,203835.8709,70077.4168
3293,603203.SH,603203,快克股份,江苏,专用机械,20161108,20.7674,19.2426,3.5062,326246.8992,322762.2318
3294,603208.SH,603208,江山欧派,浙江,家居用品,20170210,29.574,20.109,3.6701,451600.1489,172200.1489
3295,603214.SH,603214,爱婴室,上海,百货,20180330,38.3168,32.4655,4.8161,459775.795,248688.7897
3296,603217.SH,603217,元利科技,山东,化工原料,20190620,18.3982,27.4296,2.0749,444366.24,111091.56
3297,603218.SH,603218,日月股份,浙江,工程机械,20161228,33.9958,22.3904,2.9658,953767.865,232017.6882
3298,603220.SH,603220,中贝通信,湖北,通信设备,20181115,51.0253,49.2121,4.8318,744760.8,186190.2
3299,603222.SH,603222,济民制药,浙江,化学制药,20150217,496.0263,436.574,18.8467,1590400.0,1590400.0
3300,603223.SH,603223,恒通股份,山东,供气供热,20150630,38.0761,,1.7505,179222.4,179222.4
3301,603225.SH,603225,新凤鸣,浙江,化纤,20170418,9.9196,13.1591,1.6018,1411610.6085,197471.4585
3302,603226.SH,603226,菲林格尔,上海,家居用品,20170615,51.6243,50.5642,5.832,510136.9696,133342.6085
3303,603227.SH,603227,雪峰科技,新疆,化工原料,20150515,54.7057,28.9771,2.2546,283241.0,283241.0
3304,603228.SH,603228,景旺电子,深圳,元器件,20170106,34.7543,34.659,5.3652,2789582.9259,654521.519
3305,603229.SH,603229,奥翔药业,浙江,化学制药,20170509,53.0365,37.6411,3.6402,232640.0,78486.92
3306,603232.SH,603232,格尔软件,上海,软件服务,20170421,54.0639,70.512,6.5531,388178.868,232589.1414
3307,603233.SH,603233,大参林,广东,医药商业,20170731,51.6361,40.7403,8.1856,2745148.627,440250.2819
3308,603236.SH,603236,移远通信,上海,通信设备,20190716,73.4399,81.0279,7.9945,1325482.34,331444.9
3309,603238.SH,603238,诺邦股份,浙江,纺织,20170222,39.2878,26.7266,2.4895,217080.0,54270.0
3310,603239.SH,603239,浙江仙通,浙江,汽车配件,20161230,21.518,37.2325,2.7393,263410.56,88270.56
