,symbol,name
46,3570,603833.SH,603833,欧派家居,广东,家居用品,20170328,30.0721,27.0138,5.3908,4726914.3563,1064097.0788

47,3582,603866.SH,603866,桃李面包,辽宁,食品,20151222,44.4278,41.8038,8.2601,2852934.812,2852934.812

48,3595,603885.SH,603885,吉祥航空,上海,空运,20150527,24.2394,28.8911,2.3898,2988539.1186,2731460.485

49,3605,603899.SH,603899,晨光文具,上海,文教休闲,20150127,55.3245,45.364,11.3389,4463840.0,4463840.0

50,3648,603986.SH,603986,兆易创新,北京,半导体,20160818,132.4031,110.0308,10.8207,5362409.1976,4726922.2734

